lat,lon,dist_m,nearroad_inc,outdoor_pm25,infiltration,indoor_pm25
41.28493,69.32738,1776,0.00,37.9,0.8,30.3
41.33558,69.23279,80,2.93,40.8,0.8,32.7
41.35113,69.25405,298,0.69,38.6,0.8,30.9
41.26339,69.18277,991,0.01,37.9,0.65,24.6
41.32336,69.20706,115,2.32,40.2,0.65,26.1
41.28549,69.22849,274,0.80,38.7,0.8,31.0
41.41660,69.31025,166,1.65,39.6,0.65,25.7
41.33578,69.28604,88,2.78,40.7,0.8,32.5
41.21373,69.33995,474,0.21,38.1,0.65,24.8
41.35962,69.22073,392,0.37,38.3,0.5,19.1
41.31690,69.18171,431,0.28,38.2,0.65,24.8
41.31655,69.18219,384,0.39,38.3,0.65,24.9
41.30956,69.22061,1013,0.01,37.9,0.65,24.6
41.28733,69.22439,336,0.53,38.4,0.8,30.7
41.22868,69.20921,387,0.38,38.3,0.8,30.6
41.22409,69.29112,1870,0.00,37.9,0.8,30.3
41.34198,69.16760,244,0.98,38.9,0.8,31.1
41.34232,69.16760,241,1.00,38.9,0.65,25.3
41.34526,69.21709,221,1.15,39.0,0.65,25.4
41.33120,69.38154,399,0.35,38.2,0.65,24.9
41.28205,69.13844,772,0.03,37.9,0.8,30.3
41.30730,69.13249,1575,0.00,37.9,0.65,24.6
41.22383,69.20306,222,1.14,39.0,0.8,31.2
41.35235,69.28635,128,2.13,40.0,0.8,32.0
41.16653,69.30598,1259,0.00,37.9,0.65,24.6
41.32666,69.26100,228,1.09,39.0,0.5,19.5
41.33695,69.31733,553,0.13,38.0,0.65,24.7
41.21582,69.30477,2462,0.00,37.9,0.8,30.3
41.33418,69.43978,1035,0.01,37.9,0.65,24.6
41.32996,69.22977,219,1.16,39.1,0.8,31.2
41.22282,69.20368,282,0.76,38.7,0.65,25.1
41.32914,69.29415,354,0.47,38.4,0.65,24.9
41.33811,69.34226,128,2.13,40.0,0.8,32.0
41.34901,69.27539,835,0.02,37.9,0.8,30.3
41.19047,69.12676,1499,0.00,37.9,0.8,30.3
41.19934,69.15958,79,2.95,40.9,0.5,20.4
41.20668,69.24362,774,0.03,37.9,0.8,30.3
41.21109,69.19867,557,0.12,38.0,0.65,24.7
41.28433,69.29757,540,0.14,38.0,0.65,24.7
41.32629,69.24338,138,1.99,39.9,0.8,31.9
41.33000,69.24229,88,2.78,40.7,0.8,32.5
41.31968,69.24362,87,2.80,40.7,0.5,20.3
41.27966,69.11850,2356,0.00,37.9,0.8,30.3
41.25163,69.09892,4265,0.00,37.9,0.8,30.3
41.33564,69.11180,4088,0.00,37.9,0.65,24.6
41.24316,69.14524,1452,0.00,37.9,0.65,24.6
41.23614,69.23001,869,0.02,37.9,0.5,19.0
41.33182,69.13074,2452,0.00,37.9,0.8,30.3
41.19193,69.15311,152,1.82,39.7,0.8,31.8
41.17370,69.15971,1822,0.00,37.9,0.8,30.3
41.21804,69.16174,987,0.01,37.9,0.8,30.3
41.22909,69.28012,809,0.02,37.9,0.8,30.3
41.33080,69.15151,763,0.03,37.9,0.8,30.3
41.22240,69.10655,1827,0.00,37.9,0.8,30.3
41.18680,69.15560,686,0.05,38.0,0.8,30.4
41.20185,69.16489,223,1.13,39.0,0.8,31.2
41.22732,69.13045,872,0.01,37.9,0.65,24.6
41.20797,69.18540,194,1.37,39.3,0.65,25.5
41.35517,69.14327,1953,0.00,37.9,0.8,30.3
41.36179,69.11647,4307,0.00,37.9,0.8,30.3
41.37746,69.14269,3166,0.00,37.9,0.8,30.3
41.41100,69.22973,1499,0.00,37.9,0.8,30.3
41.41577,69.19874,135,2.03,39.9,0.8,31.9
41.41995,69.26669,2566,0.00,37.9,0.8,30.3
41.40609,69.21867,1348,0.00,37.9,0.8,30.3
41.40594,69.26689,1091,0.00,37.9,0.8,30.3
41.40178,69.28492,1314,0.00,37.9,0.8,30.3
41.38494,69.32200,354,0.47,38.4,0.8,30.7
41.36971,69.16733,1117,0.00,37.9,0.8,30.3
41.41380,69.19431,533,0.14,38.0,0.65,24.7
