way_id,seq,lat,lon,highway
30168676,34,41.1584326,69.325773,trunk
30168676,35,41.158887,69.3259393,trunk
30168676,36,41.1595272,69.3261351,trunk
30168676,37,41.1600746,69.3263082,trunk
30168676,38,41.1628591,69.3271814,trunk
30168765,0,41.2393394,69.3301464,primary
30168765,1,41.2406392,69.3293883,primary
30168765,2,41.240735,69.3293272,primary
30168765,3,41.2408718,69.3292328,primary
30168765,4,41.2410017,69.3291338,primary
30168766,0,41.2393119,69.330055,trunk
30168766,1,41.2378228,69.3309158,trunk
30168766,2,41.2375511,69.3310728,trunk
30168766,3,41.2367238,69.3315482,trunk
30168769,0,41.2367563,69.3316421,trunk
30168769,1,41.2373187,69.3313189,trunk
30168769,2,41.2375843,69.3311663,trunk
30168813,0,41.2618676,69.3170677,primary
30168813,1,41.2612689,69.3174028,primary
30168813,2,41.2607214,69.3177093,primary
30168813,3,41.2598825,69.3181932,primary
30168813,4,41.2597506,69.3182664,primary
30168813,5,41.2595157,69.3183969,primary
30168813,6,41.2589726,69.3186984,primary
30168813,7,41.2587534,69.3188202,primary
30168813,8,41.2581886,69.3191338,primary
30168813,9,41.2577534,69.3193815,primary
30168813,10,41.2570487,69.3197826,primary
30168813,11,41.2567606,69.3199466,primary
30168896,0,41.2909328,69.2841888,trunk
30168896,1,41.2915303,69.2853885,trunk
30168896,2,41.2918333,69.2861283,trunk
30168896,3,41.2920083,69.2864969,trunk
30168896,4,41.292193,69.2868535,trunk
30168896,5,41.2923766,69.2871719,trunk
30168896,6,41.292958,69.2880932,trunk
30168917,0,41.2939921,69.29723,primary
30168917,1,41.2958835,69.2954096,primary
30271086,0,41.2652928,69.2642057,primary
30271086,1,41.2652211,69.2642644,primary
30271086,2,41.265175,69.2642957,primary
