city,lat,lon,child_u20
Almaty,43.17586,76.76387,152.6
Almaty,43.29718,77.02599,112.5
Almaty,43.34823,76.84196,173.1
Almaty,43.29925,77.04832,104.3
Almaty,43.30519,77.04330,123.1
Almaty,43.25501,76.75604,142.5
Almaty,43.30814,76.92288,1188.1
Almaty,43.33483,76.94857,1246.0
Almaty,43.23201,76.94684,1228.2
Almaty,43.20619,76.87961,1359.8
Almaty,43.30083,76.93426,1165.9
Almaty,43.20436,76.89570,1453.1
Almaty,43.22756,76.89761,1406.8
Almaty,43.29568,76.93878,1237.8
Almaty,43.26861,76.96461,1388.0
Almaty,43.33978,76.96588,1090.3
Almaty,43.23419,76.89430,1306.3
Almaty,43.34437,76.98846,1300.4
Almaty,43.19810,76.87673,1187.2
Almaty,43.32201,76.95061,1189.1
Almaty,43.25430,76.95162,1382.5
Almaty,43.26044,76.88582,1153.9
Almaty,43.31661,76.93776,1241.5
Almaty,43.19928,76.79266,152.6
Almaty,43.23991,76.91190,1334.7
Almaty,43.19917,76.87628,1187.2
Almaty,43.26243,76.95951,1392.2
Almaty,43.29729,76.85120,1207.8
Almaty,43.23310,76.91979,1295.4
Almaty,43.20287,76.90199,1453.1
Almaty,43.25608,76.94689,1382.5
Almaty,43.33624,76.94388,1252.8
Almaty,43.26846,76.86362,1136.5
Almaty,43.21723,76.88660,1446.6
Almaty,43.20046,76.88256,1359.8
Almaty,43.25401,76.96737,1453.2
Almaty,43.34993,76.99081,1300.4
Almaty,43.23160,76.92437,1295.4
Almaty,43.22586,76.96361,1333.1
Almaty,43.33566,76.94669,1246.0
Almaty,43.23537,76.87965,1377.4
Almaty,43.25139,76.84759,266.0
Almaty,43.21684,76.88903,1446.6
Almaty,43.24845,76.93751,1325.3
Almaty,43.25626,76.85165,266.0
Almaty,43.35000,76.95599,334.2
Almaty,43.25547,76.95945,1411.4
Almaty,43.19934,76.87804,1301.9
Almaty,43.23505,76.88640,1367.0
Almaty,43.25381,76.87461,1309.9
Almaty,43.20197,76.89813,1453.1
Almaty,43.24817,76.93037,1328.5
Almaty,43.24826,76.95557,1472.8
Almaty,43.34132,76.98936,1221.8
Almaty,43.21579,76.89677,1386.5
Almaty,43.27420,76.83680,1171.8
Almaty,43.19767,76.88416,1301.9
Almaty,43.25390,76.93914,1300.4
Almaty,43.19191,76.96725,1147.7
Almaty,43.26073,76.87894,1258.3
Almaty,43.22146,76.96376,1339.4
Almaty,43.28455,76.88716,1270.3
Almaty,43.20858,76.97249,1262.2
Almaty,43.19948,76.79384,152.6
Almaty,43.22859,76.90770,1298.9
Almaty,43.22768,76.84087,262.5
Almaty,43.26679,76.94569,1271.3
Almaty,43.27022,76.95116,1271.3
Almaty,43.22051,76.87579,1410.8
Almaty,43.27236,76.98212,1457.6
Almaty,43.19384,76.90633,1352.5
Almaty,43.34573,76.95924,334.2
Almaty,43.21056,76.87479,1308.8
Almaty,43.22989,76.86243,1411.1
Almaty,43.26835,76.98528,1457.6
Almaty,43.28844,76.88309,1156.6
Almaty,43.21881,76.94962,1200.3
Almaty,43.31205,76.95591,1192.9
Almaty,43.25002,76.85811,1049.4
Almaty,43.22139,76.89369,1446.6
Almaty,43.31418,76.96604,1212.9
Almaty,43.23726,76.83304,250.4
Almaty,43.24764,76.94828,1399.9
Almaty,43.21511,76.87803,1390.9
Almaty,43.30149,76.95908,1311.3
Almaty,43.28876,76.97745,1355.2
Almaty,43.23110,76.91586,1351.4
Almaty,43.30005,76.86962,1142.9
Almaty,43.22999,76.83858,262.5
Almaty,43.33617,76.97711,1196.7
Almaty,43.27757,76.98700,1338.5
Almaty,43.22078,76.95387,1255.7
Almaty,43.32534,76.96810,1141.5
Almaty,43.22045,76.85875,1261.2
Almaty,43.19904,76.90828,1352.5
Almaty,43.24096,76.83064,250.4
Almaty,43.21508,76.88725,1407.3
Almaty,43.25109,76.83496,249.3
Almaty,43.25402,76.97967,1419.7
Almaty,43.23125,76.85033,817.0
Almaty,43.24952,76.90919,1272.0
Almaty,43.20913,76.87997,1390.9
Almaty,43.27202,76.84500,1146.7
Almaty,43.34397,77.00642,1313.2
Almaty,43.20167,76.84186,1362.8
Almaty,43.26243,76.94504,1278.4
Almaty,43.23364,76.85745,1394.6
Almaty,43.22429,76.84074,481.8
Almaty,43.32011,76.91302,1082.8
Almaty,43.32340,76.88541,1073.8
Almaty,43.31856,76.93478,1228.3
Almaty,43.28390,77.00195,129.5
Almaty,43.32686,76.91885,1011.1
Almaty,43.22832,76.85095,817.0
Almaty,43.24982,76.90303,1272.0
Almaty,43.22141,76.83640,481.8
Almaty,43.21188,76.84650,1349.2
Almaty,43.31882,76.91106,1082.8
Almaty,43.34322,76.93336,897.3
Almaty,43.22113,76.83622,481.8
Almaty,43.25560,76.88109,1307.0
Almaty,43.22189,76.85966,1261.2
Almaty,43.27447,76.95474,1365.5
Almaty,43.26936,76.94071,1256.8
Almaty,43.33661,76.91359,1114.2
Almaty,43.19959,76.85458,1261.0
Almaty,43.18661,76.82971,234.5
Almaty,43.25639,76.87872,1307.0
Almaty,43.25669,76.87894,1307.0
Almaty,43.34711,77.02071,990.9
Almaty,43.22543,76.86862,1411.1
Almaty,43.33637,76.91154,1114.2
Almaty,43.20420,76.82486,233.5
Almaty,43.23605,76.98015,1281.2
Almaty,43.30440,76.90028,1160.6
Almaty,43.25668,76.92063,1280.0
Almaty,43.21706,76.86987,1410.8
Almaty,43.25943,76.87214,1276.6
Almaty,43.22217,76.84401,1289.8
Almaty,43.22521,77.04563,13.8
Almaty,43.23501,76.82169,238.8
Almaty,43.32030,76.97931,1106.2
Almaty,43.32644,76.93130,1248.2
Almaty,43.21364,76.86134,1233.4
Almaty,43.25370,76.87029,1309.9
Almaty,43.29689,76.86177,1152.6
Almaty,43.22712,76.86854,1411.1
Almaty,43.27314,76.96206,1388.0
Almaty,43.24882,76.92197,1312.5
Almaty,43.34108,76.81161,137.1
Almaty,43.24359,76.93864,1325.3
Almaty,43.23216,76.86264,1411.1
Almaty,43.24999,76.81450,217.7
Almaty,43.23459,76.83601,239.3
Almaty,43.29038,76.95276,1322.3
Almaty,43.25935,76.93104,1295.4
Almaty,43.21008,76.78177,156.9
Almaty,43.24963,76.90427,1272.0
Almaty,43.27239,76.92870,1286.5
Almaty,43.22151,76.86304,1313.3
Almaty,43.29248,76.96592,1259.6
Almaty,43.22630,76.85179,817.0
Almaty,43.24537,76.90015,1226.5
Almaty,43.25917,76.92072,1286.5
Almaty,43.17646,76.90491,1257.1
Almaty,43.29192,76.94180,1237.8
Almaty,43.28898,76.93245,1286.8
Almaty,43.22988,76.91296,1351.4
Almaty,43.28227,76.97528,1401.0
Almaty,43.23408,76.82777,250.4
Almaty,43.24186,76.90028,1226.5
Almaty,43.24647,76.89170,1245.7
Almaty,43.19011,76.92429,1195.1
Almaty,43.23094,76.95680,1287.9
Almaty,43.28439,76.94105,1311.4
Almaty,43.23518,76.89399,1306.3
Almaty,43.24360,76.90101,1226.5
Almaty,43.26662,76.89334,1153.9
Almaty,43.24975,76.95368,1472.8
Almaty,43.25812,76.91512,1247.6
Almaty,43.26699,76.89792,1236.8
Almaty,43.23860,76.93923,1310.3
Almaty,43.32546,76.91856,1011.1
Almaty,43.16621,76.84907,159.0
Almaty,43.25493,76.91225,1247.6
Almaty,43.29382,76.91586,1298.0
Almaty,43.24660,76.79211,188.4
Almaty,43.24232,76.88831,1245.7
Almaty,43.25064,76.87803,1307.0
Almaty,43.18596,76.82835,234.5
Almaty,43.21929,76.80206,204.1
Almaty,43.28046,76.82411,250.5
Almaty,43.24331,76.88020,1312.1
Almaty,43.19154,76.80173,236.6
Almaty,43.24868,76.89695,1226.5
Almaty,43.17632,76.86852,1237.1
Almaty,43.31211,76.84090,182.4
Almaty,43.24302,76.81704,217.7
Almaty,43.24722,76.80114,208.3
Almaty,43.23160,76.93108,1242.5
Almaty,43.33859,76.89890,978.3
Almaty,43.25720,76.81580,198.7
Almaty,43.32804,77.02331,897.3
Almaty,43.21319,76.84723,1349.2
Almaty,43.20452,76.82132,233.5
Almaty,43.31033,76.83934,182.4
