lat,lon,dist_m,infiltration,indoor_pm25
41.25146,69.20218,309,0.8,30.8
41.26294,69.18343,916,0.8,30.3
41.26814,69.17485,1837,0.8,30.3
41.26167,69.21175,310,0.8,30.8
41.23821,69.17231,319,0.8,30.8
41.26133,69.15739,537,0.65,24.7
41.26632,69.16323,1276,0.8,30.3
41.25944,69.20327,516,0.8,30.4
41.28596,69.22888,214,0.8,31.3
41.31621,69.19792,323,0.8,30.8
41.30940,69.22079,1035,0.8,30.3
41.32703,69.25780,240,0.8,31.1
41.33939,69.26367,384,0.8,30.6
41.30874,69.23511,268,0.65,25.2
41.33527,69.19916,255,0.8,31.1
41.32349,69.20692,129,0.8,32.0
41.32663,69.22608,145,0.8,31.8
41.32614,69.24365,110,0.8,32.2
41.31347,69.23246,235,0.8,31.2
41.32283,69.24758,117,0.8,32.2
41.32009,69.22903,157,0.8,31.7
41.30841,69.23611,177,0.8,31.5
41.31318,69.22776,499,0.8,30.5
41.33358,69.20504,224,0.8,31.2
41.32967,69.22068,148,0.8,31.8
41.33055,69.20296,294,0.8,30.9
41.32633,69.26081,190,0.8,31.4
41.33133,69.21413,174,0.8,31.6
41.31256,69.19818,384,0.8,30.6
41.31565,69.20885,97,0.8,32.4
41.30549,69.21184,306,0.8,30.8
41.31646,69.20692,255,0.8,31.1
41.34175,69.20042,375,0.8,30.6
41.30315,69.20710,149,0.8,31.8
41.31376,69.20330,450,0.8,30.5
41.32648,69.19909,316,0.8,30.8
41.30290,69.21689,531,0.8,30.4
41.33317,69.16836,427,0.8,30.6
41.33796,69.17050,509,0.8,30.5
41.33953,69.17911,1061,0.8,30.3
41.34575,69.17551,314,0.8,30.8
41.34261,69.16906,362,0.65,24.9
41.33977,69.18095,1065,0.65,24.6
41.31782,69.23437,191,0.8,31.4
41.32359,69.25658,76,0.8,32.7
41.31988,69.27702,217,0.8,31.3
41.33020,69.27841,366,0.8,30.7
41.36960,69.29950,471,0.8,30.5
41.31843,69.28861,212,0.8,31.3
41.32581,69.28802,417,0.8,30.6
41.32925,69.28806,361,0.8,30.7
41.35910,69.28360,304,0.8,30.8
41.35488,69.30171,520,0.8,30.4
41.35240,69.28613,147,0.8,31.8
41.33588,69.28568,56,0.8,33.1
41.38084,69.27350,750,0.65,24.7
41.32478,69.27888,272,0.8,31.0
41.37023,69.26850,1383,0.8,30.3
41.34842,69.27417,796,0.8,30.3
41.37919,69.30496,557,0.8,30.4
41.35360,69.33504,661,0.8,30.4
41.34350,69.30107,1101,0.8,30.3
41.35197,69.29836,856,0.8,30.3
41.36596,69.31092,911,0.8,30.3
41.34933,69.26646,232,0.8,31.2
41.36520,69.27638,567,0.8,30.4
41.37060,69.28365,230,0.65,25.3
41.36971,69.28965,270,0.8,31.0
41.36734,69.29771,340,0.8,30.7
41.37813,69.30197,463,0.8,30.5
41.37025,69.30641,1019,0.8,30.3
41.37563,69.31612,437,0.8,30.5
41.37472,69.31513,548,0.8,30.4
41.37724,69.27737,899,0.8,30.3
41.37249,69.28061,522,0.8,30.4
41.37917,69.28472,353,0.8,30.7
41.37585,69.28659,119,0.8,32.1
41.35753,69.28954,41,0.8,33.4
41.37927,69.30388,528,0.8,30.4
41.36698,69.32400,247,0.8,31.1
41.36930,69.31889,449,0.8,30.5
41.36393,69.27881,343,0.8,30.7
41.39154,69.25281,704,0.8,30.4
41.37762,69.26291,1597,0.65,24.6
41.35735,69.32651,848,0.8,30.3
41.35839,69.28294,344,0.8,30.7
41.26950,69.23470,69,0.8,32.8
41.27404,69.26331,359,0.8,30.7
41.29398,69.24942,103,0.8,32.3
41.28536,69.25140,130,0.8,32.0
41.29909,69.25785,670,0.8,30.4
41.27357,69.22997,664,0.8,30.4
41.28815,69.26018,214,0.8,31.3
41.26870,69.25004,130,0.8,32.0
41.28917,69.24714,371,0.8,30.7
41.28199,69.23656,138,0.8,31.9
41.29173,69.26227,54,0.8,33.1
41.26164,69.22652,34,0.8,33.5
41.26706,69.23752,81,0.8,32.7
41.27451,69.26303,354,0.8,30.7
41.26931,69.23461,61,0.8,33.0
41.28205,69.36739,540,0.8,30.4
41.28985,69.31865,1303,0.8,30.3
41.28609,69.35582,343,0.8,30.7
41.27531,69.34497,1393,0.8,30.3
41.31738,69.31401,53,0.8,33.1
41.30391,69.28758,35,0.8,33.5
41.28256,69.34405,1368,0.8,30.3
41.28110,69.34694,1148,0.8,30.3
41.29857,69.35950,600,0.8,30.4
41.29195,69.32972,1449,0.8,30.3
41.28670,69.32642,1770,0.8,30.3
41.26689,69.31699,207,0.8,31.3
41.30104,69.30957,384,0.8,30.6
41.29435,69.34177,746,0.8,30.3
41.26915,69.31792,378,0.8,30.6
41.27169,69.34988,1036,0.8,30.3
41.29465,69.34472,565,0.65,24.7
41.25313,69.34005,911,0.8,30.3
41.25365,69.34691,685,0.8,30.4
41.24528,69.33151,381,0.8,30.6
41.25940,69.32063,153,0.8,31.8
41.28588,69.34251,1358,0.65,24.6
41.27610,69.35425,612,0.8,30.4
41.26600,69.35503,776,0.8,30.3
41.27695,69.31262,303,0.65,25.1
41.29388,69.34653,536,0.65,24.7
41.29208,69.36278,405,0.8,30.6
41.29351,69.36622,733,0.8,30.4
41.31027,69.32339,536,0.8,30.4
41.27912,69.30875,96,0.8,32.4
41.28579,69.33997,1536,0.8,30.3
41.31629,69.31391,156,0.8,31.7
41.19984,69.22257,612,0.8,30.4
41.19818,69.21815,595,0.8,30.4
41.20737,69.21608,372,0.8,30.7
41.23559,69.19081,170,0.8,31.6
41.19825,69.20991,257,0.8,31.0
41.17738,69.24700,1233,0.8,30.3
41.22406,69.18334,298,0.8,30.9
41.19529,69.21150,610,0.8,30.4
41.22270,69.20354,273,0.65,25.2
41.22395,69.20345,255,0.65,25.2
41.21125,69.19900,571,0.65,24.7
41.17358,69.29476,51,0.65,26.9
41.18734,69.27654,2091,0.8,30.3
41.15641,69.42873,384,0.65,24.9
41.16871,69.21909,269,0.65,25.2
41.18675,69.31679,257,0.8,31.0
41.15751,69.27200,684,0.65,24.7
41.18819,69.32885,147,0.8,31.8
41.15820,69.34561,1619,0.65,24.6
41.15480,69.38577,2894,0.65,24.6
41.15963,69.34049,1166,0.8,30.3
41.21620,69.30413,2521,0.65,24.6
41.22027,69.33360,53,0.8,33.1
41.21623,69.32390,876,0.8,30.3
41.21369,69.34027,457,0.8,30.5
41.35788,69.36870,368,0.8,30.7
41.34814,69.38723,1145,0.65,24.6
41.32732,69.34510,647,0.8,30.4
41.31800,69.35344,235,0.8,31.2
41.32340,69.36110,149,0.8,31.8
41.24688,69.29849,286,0.8,30.9
41.28098,69.37031,769,0.5,19.0
41.21272,69.19516,212,0.65,25.4
41.18543,69.44025,2701,0.8,30.3
41.34874,69.34041,623,0.65,24.7
41.23254,69.35786,1033,0.8,30.3
41.23706,69.37226,632,0.65,24.7
41.33304,69.40699,1048,0.8,30.3
41.22902,69.28047,839,0.65,24.6
41.23953,69.25469,534,0.8,30.4
41.33951,69.22337,96,0.8,32.4
41.33320,69.30405,59,0.8,33.0
41.38716,69.26016,938,0.8,30.3
41.32983,69.23000,214,0.8,31.3
41.21877,69.18939,540,0.65,24.7
41.28968,69.39062,2572,0.8,30.3
41.32914,69.33672,474,0.8,30.5
41.22496,69.29034,1773,0.8,30.3
41.33619,69.42859,1103,0.65,24.6
41.28028,69.18673,478,0.5,19.1
41.23602,69.23021,884,0.8,30.3
41.24120,69.36622,1310,0.65,24.6
41.37288,69.35213,1880,0.65,24.6
41.35772,69.36336,309,0.8,30.8
41.21695,69.24616,90,0.8,32.5
41.35082,69.31690,74,0.65,26.6
41.30383,69.40282,2040,0.65,24.6
41.29953,69.13213,1564,0.5,19.0
