lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.35994,69.22003,196-sonli umumiy o'rta ta'lim maktabi,448,8.45,46.6
41.36985,69.21877,219-sonli umumiy o'rta ta'lim maktabi,523,6.93,45.0
41.34493,69.22287,224-sonli umumiy o'rta ta'lim maktabi,494,8.01,46.1
41.35767,69.23353,233-sonli umumiy o'rta ta'lim maktabi,561,10.68,48.7
41.36970,69.20869,234-sonli umumiy o'rta ta'lim maktabi,1099,5.44,43.3
41.37009,69.21076,242-sonli umumiy o'rta ta'lim maktabi,1176,5.73,43.6
41.34291,69.20760,243-sonli umumiy o'rta ta'lim maktabi,123,4.52,44.6
41.35556,69.19138,249-sonli umumiy o'rta ta'lim maktabi,644,2.57,40.5
41.35289,69.18481,261-sonli umumiy o'rta ta'lim maktabi,340,1.83,40.2
41.36547,69.19156,278-sonli umumiy o'rta ta'lim maktabi,537,3.01,41.0
41.33226,69.22387,298-sonli umumiy o'rta ta'lim maktabi,228,3.56,42.6
41.38461,69.21991,315-sonli umumiy o'rta ta'lim maktabi,345,5.18,43.6
41.35573,69.21844,326-sonli ixtisoslashtirilgan davlat umu,604,8.32,46.3
41.34310,69.25071,"298,Tashkent,Olmazor",304,7.38,45.9
41.36398,69.19308,"315,Tashkent,Olmazor",746,3.13,41.1
41.36318,69.19750,"326,Tashkent,Olmazor",1052,3.74,41.6
41.34464,69.21716,"36,Tashkent,Olmazor",268,6.73,45.5
41.33536,69.24840,"102-MM,Tashkent,Olmazor",398,4.61,42.9
41.22234,69.21693,301-sonli umumiy o'rta ta'lim maktabi,424,-0.26,37.9
41.21752,69.26434,305-sonli umumiy o'rta ta'lim maktabi,571,-1.23,36.8
41.21009,69.22444,6-sonli ixtisoslashtirilgan davlat umumt,299,-1.16,37.4
41.21282,69.23337,7-sonli umumiy o'rta ta'lim maktabi,205,-1.27,37.9
41.21885,69.21581,317-sonli ixtisoslashtirilgan davlat umu,674,-0.27,37.7
41.22657,69.21137,322-sonli umumiy o'rta ta'lim maktabi,646,-0.13,37.8
41.22867,69.20947,55 - sonli umumiy o'rta ta'lim maktabi,405,-0.14,38.1
41.21146,69.23195,68-sonli umumiy o'rta ta'lim maktabi,92,-1.33,39.3
41.23195,69.20138,76-sonli umumiy o'rta ta'lim maktabi,339,-0.19,38.2
41.21695,69.24140,104-sonli umumiy o'rta ta'lim maktabi,234,-1.23,37.7
41.25957,69.25684,237-sonli umumiy o'rta ta'lim maktabi,90,-1.2,39.4
41.20095,69.25057,264-sonli umumiy o'rta ta'lim maktabi,1609,-2.23,35.7
41.24760,69.29112,266-sonli umumiy o'rta ta'lim maktabi,364,-0.46,37.9
41.24733,69.22485,267-sonli umumiy o'rta ta'lim maktabi,381,-1.2,37.1
41.24724,69.28484,268-sonli umumiy o'rta ta'lim maktabi,323,-0.59,37.9
41.24663,69.25727,269-sonli umumiy o'rta ta'lim maktabi,238,-1.03,37.9
41.24759,69.28818,277-sonli ixtisoslashtirilgan davlat umu,361,-0.52,37.8
41.22100,69.21744,284-sonli umumiy o'rta ta'lim maktabi,449,-0.29,37.9
41.20770,69.22488,"269,Tashkent,Sergeli",48,-1.42,40.1
41.22189,69.21418,300-sonli ixtisoslashtirilgan davlat umu,654,-0.17,37.8
41.21762,69.21864,"284,Tashkent,Sergeli",518,-0.42,37.6
41.21112,69.19886,"2,Tashkent,Yashnobod",569,-0.34,37.7
41.31593,69.18068,4-sonli umumiy o'rta ta'lim maktabi,350,0.51,38.9
41.29142,69.15828,14-sonli ixtisoslashtirilgan davlat umum,686,-0.63,37.3
41.31516,69.17394,38-sonli umumiy o'rta ta'lim maktabi,464,0.52,38.6
41.28657,69.17678,44-sonli umumiy o'rta ta'lim maktabi,490,-1.6,36.5
41.29360,69.18921,62-sonli umumiy o'rta ta'lim maktabi,369,-1.94,36.4
41.27943,69.18681,74-sonli umumiy o'rta ta'lim maktabi,546,-2.39,35.6
41.32106,69.17344,75-sonli umumiy o'rta ta'lim maktabi,1077,0.95,38.9
