population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2021,337.07568343156834,491.3783869324108,211.0101822163291
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2021,0.0015504956622476,0.0022697044084666,0.0009441148941069
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2021,7.289069395569999,10.62577734878,4.5629748360599995
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,510,Pneumoconiosis,1,Number,2021,0.1062413697031625,0.2838208374421235,0.0191206165136485
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,510,Pneumoconiosis,2,Percent,2021,4.873185092e-07,1.3611716794e-06,8.97191991e-08
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,510,Pneumoconiosis,3,Rate,2021,0.00229740902,0.00613746373,0.00041347243000000003
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,508,Chronic respiratory diseases,1,Number,2021,1920.835546732589,2759.6020350940857,1260.0886384637408
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,508,Chronic respiratory diseases,2,Percent,2021,0.0193063119216018,0.0267844287907911,0.0134500076924051
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,508,Chronic respiratory diseases,3,Rate,2021,89.21859120552,128.1774518791,58.528348930780005
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2021,150.87664563936,217.60299289060595,89.54308567823325
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2021,0.0015290590652829,0.0022165051831281,0.0009149385323705
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2021,7.007888724600001,10.10718096134,4.15907960991
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,510,Pneumoconiosis,1,Number,2021,0.0569055282066281,0.1662591946505499,0.0089287566456107
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,510,Pneumoconiosis,2,Percent,2021,5.707790113e-07,1.7343626541e-06,9.87341767e-08
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,510,Pneumoconiosis,3,Rate,2021,0.00264313677,0.007722374329999999,0.00041472113
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,515,Asthma,1,Number,2021,1709.094330108547,2526.300860294446,1069.693811228908
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,515,Asthma,2,Percent,2021,0.0171604432723792,0.0247321360282663,0.0109488972364171
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,515,Asthma,3,Rate,2021,79.38367687384999,117.34112485588,49.68492748972999
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2021,0.4845591654073599,0.8759167975112687,0.2231046079988916
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,2,Percent,2021,4.9007542758e-06,8.7140281293e-06,2.1379500532e-06
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,2021,0.02250670869,0.04068441092,0.0103627189
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,520,Other chronic respiratory diseases,1,Number,2021,60.32310629106772,87.04145555265433,35.79879899859927
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,520,Other chronic respiratory diseases,2,Percent,2021,0.0006113380506524,0.000884358077368,0.0003660983274923
1,All Population,3,YLDs (Years Lived with Disability),40,Turkmenistan,3,Both,158,<20 years,520,Other chronic respiratory diseases,3,Rate,2021,2.8018757616100003,4.04288438648,1.6627755660499999
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,515,Asthma,1,Number,2021,3617.1918071689274,5668.600872055431,2211.65539093318
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,515,Asthma,2,Percent,2021,0.0164509688725776,0.0231648547527116,0.010528686917406
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,515,Asthma,3,Rate,2021,78.21970968396,122.58026064519,47.82578636192
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2021,1.073941660373544,2.043244568356413,0.4644749291759127
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,2,Percent,2021,4.9283540125e-06,8.500959604e-06,2.0009998683e-06
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,2021,0.02322337586,0.04418399838,0.01004400542
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,520,Other chronic respiratory diseases,1,Number,2021,134.75696230307227,196.6330947853832,84.4369024481339
