priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
59,172-sonli umumiy o'rta ta'lim maktabi,41.26164,69.22652,34,pre-1992 (Soviet-era),0.8,33.5,52.2,YES,6.7,1.13,195.0,0.554,6,no,no
60,319-sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.26706,69.23752,81,pre-1992 (Soviet-era),0.8,32.7,51.0,YES,6.5,1.02,182.5,0.554,23,no,no
61,33-sonli umumiy o'rta ta'lim maktabi,41.18543,69.44025,2701,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.68,159.8,0.554,272,no,no
62,31-sonli umumiy o'rta ta'lim maktabi,41.41380,69.19481,492,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,0.74,221.2,0.553,172,no,no
63,41-sonli umumiy o'rta ta'lim maktabi,41.32663,69.22608,145,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,0.9,195.4,0.553,52,no,no
64,293-sonli umumiy o'rta ta'lim maktabi,41.25324,69.37663,511,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,0.75,228.7,0.551,166,no,no
65,82-sonli umumiy o'rta ta'lim maktabi,41.32009,69.22903,157,pre-1992 (Soviet-era),0.8,31.7,49.4,YES,6.3,0.9,193.3,0.551,55,no,no
66,343-sonli umumiy o'rta ta'lim maktabi,41.33304,69.40699,1048,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.72,207.7,0.551,265,no,no
67,3-sonli umumiy o'rta ta'lim maktabi,41.18630,69.44025,2745,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.68,96.3,0.551,319,no,no
68,59-sonli xitoy va koreys tillarini chuqurlashtirib o'qitishga ixtisoslashtirilgan davlat umumta'lim maktabiat umumta'lim maktabi,41.32283,69.24758,117,pre-1992 (Soviet-era),0.8,32.2,50.2,YES,6.4,0.99,190.5,0.55,34,no,no
69,240-sonli umumiy o`rta ta`lim maktabi,41.36971,69.28965,270,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,0.84,236.0,0.549,102,no,no
70,213-sonli umumiy o'rta ta'lim maktabi,41.24302,69.32452,242,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,0.85,204.6,0.549,85,no,no
71,42-sonli umumiy o'rta ta'lim maktabi,41.32614,69.24365,110,pre-1992 (Soviet-era),0.8,32.2,50.2,YES,6.4,0.99,184.7,0.549,36,no,no
72,126-sonli umumiy o'rta ta'lim maktabi,41.26001,69.15461,270,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,0.83,159.0,0.547,99,no,no
73,71-sonli umumiy o'rta ta'lim maktabi,41.32342,69.31796,44,pre-1992 (Soviet-era),0.8,33.3,51.9,YES,6.7,1.16,212.5,0.547,10,no,no
74,173-sonli umumiy o'rta ta'lim maktabi,41.29320,69.22060,40,pre-1992 (Soviet-era),0.8,33.4,52.1,YES,6.7,1.17,185.6,0.547,9,no,no
75,324-sonli umumiy o'rta ta'lim maktabi,41.31782,69.23437,191,pre-1992 (Soviet-era),0.8,31.4,49.0,YES,6.3,0.9,185.0,0.546,65,no,no
76,70-sonli umumiy o`rta ta`lim maktabi,41.33588,69.28568,56,pre-1992 (Soviet-era),0.8,33.1,51.6,YES,6.6,1.13,185.8,0.546,15,no,no
