lat,lon,settlement_year,cohort,infiltration_obj
41.40051,69.19472,1985,Soviet (<=1991),0.8
41.29559,69.20800,1985,Soviet (<=1991),0.8
41.19475,69.21182,0,unknown,0.65
41.33609,69.35245,0,unknown,0.65
41.35354,69.33491,1985,Soviet (<=1991),0.8
41.26740,69.16545,1995,1992-2010,0.65
41.35745,69.23344,1985,Soviet (<=1991),0.8
41.31336,69.22740,1985,Soviet (<=1991),0.8
41.29214,69.17235,1985,Soviet (<=1991),0.8
41.34373,69.30108,1985,Soviet (<=1991),0.8
41.31598,69.20911,1985,Soviet (<=1991),0.8
41.28223,69.36718,1985,Soviet (<=1991),0.8
41.35694,69.36437,1992,1992-2010,0.65
41.35863,69.36447,1985,Soviet (<=1991),0.8
41.35874,69.39268,1985,Soviet (<=1991),0.8
41.17928,69.13341,1985,Soviet (<=1991),0.8
41.37134,69.27039,1992,1992-2010,0.65
41.33813,69.37365,1985,Soviet (<=1991),0.8
41.34051,69.37183,1985,Soviet (<=1991),0.8
41.38604,69.17089,1985,Soviet (<=1991),0.8
41.27216,69.27492,1985,Soviet (<=1991),0.8
41.24319,69.14207,1985,Soviet (<=1991),0.8
41.39357,69.35298,1985,Soviet (<=1991),0.8
41.38432,69.35805,1985,Soviet (<=1991),0.8
41.32569,69.28790,1985,Soviet (<=1991),0.8
41.35673,69.17401,2007,1992-2010,0.65
41.37265,69.32503,2008,1992-2010,0.65
41.18820,69.32889,1991,Soviet (<=1991),0.8
41.32698,69.25779,1985,Soviet (<=1991),0.8
41.35325,69.23285,1985,Soviet (<=1991),0.8
41.32298,69.24765,1985,Soviet (<=1991),0.8
41.34947,69.26634,1985,Soviet (<=1991),0.8
41.15450,69.38674,0,unknown,0.65
41.15882,69.34582,1991,Soviet (<=1991),0.8
41.33982,69.23272,1985,Soviet (<=1991),0.8
41.30354,69.11018,1992,1992-2010,0.65
41.33521,69.19917,1985,Soviet (<=1991),0.8
41.29915,69.26525,1992,1992-2010,0.65
41.34598,69.17562,1992,1992-2010,0.65
41.30847,69.33958,1985,Soviet (<=1991),0.8
41.28493,69.32738,1985,Soviet (<=1991),0.8
41.33558,69.23279,1985,Soviet (<=1991),0.8
41.35113,69.25405,1985,Soviet (<=1991),0.8
41.26339,69.18277,1985,Soviet (<=1991),0.8
41.32336,69.20706,1985,Soviet (<=1991),0.8
41.28549,69.22849,1991,Soviet (<=1991),0.8
41.41660,69.31025,1985,Soviet (<=1991),0.8
41.33578,69.28604,1985,Soviet (<=1991),0.8
41.21373,69.33995,1985,Soviet (<=1991),0.8
41.35962,69.22073,1985,Soviet (<=1991),0.8
41.31690,69.18171,1985,Soviet (<=1991),0.8
41.31655,69.18219,1985,Soviet (<=1991),0.8
41.30956,69.22061,1985,Soviet (<=1991),0.8
41.28733,69.22439,2001,1992-2010,0.65
41.22868,69.20921,0,unknown,0.65
41.22409,69.29112,1998,1992-2010,0.65
41.34198,69.16760,0,unknown,0.65
41.34232,69.16760,0,unknown,0.65
41.34526,69.21709,1985,Soviet (<=1991),0.8
41.33120,69.38154,0,unknown,0.65
41.28205,69.13844,1992,1992-2010,0.65
41.30730,69.13249,1985,Soviet (<=1991),0.8
41.22383,69.20306,0,unknown,0.65
41.35235,69.28635,2003,1992-2010,0.65
41.16653,69.30598,0,unknown,0.65
41.32666,69.26100,1985,Soviet (<=1991),0.8
41.33695,69.31733,1985,Soviet (<=1991),0.8
41.21582,69.30477,2005,1992-2010,0.65
41.33418,69.43978,0,unknown,0.65
41.32996,69.22977,1985,Soviet (<=1991),0.8
41.22282,69.20368,0,unknown,0.65
41.32914,69.29415,1997,1992-2010,0.65
41.33811,69.34226,1985,Soviet (<=1991),0.8
41.34901,69.27539,1985,Soviet (<=1991),0.8
41.19047,69.12676,2005,1992-2010,0.65
41.19934,69.15958,1991,Soviet (<=1991),0.8
41.20668,69.24362,0,unknown,0.65
41.21109,69.19867,0,unknown,0.65
41.28433,69.29757,1985,Soviet (<=1991),0.8
41.32629,69.24338,1985,Soviet (<=1991),0.8
41.33000,69.24229,1985,Soviet (<=1991),0.8
41.31968,69.24362,0,unknown,0.65
41.27966,69.11850,1985,Soviet (<=1991),0.8
41.25163,69.09892,1985,Soviet (<=1991),0.8
41.33564,69.11180,1994,1992-2010,0.65
41.24316,69.14524,1992,1992-2010,0.65
41.23614,69.23001,1985,Soviet (<=1991),0.8
41.33182,69.13074,2011,post-2010,0.5
41.19193,69.15311,2003,1992-2010,0.65
41.17370,69.15971,1985,Soviet (<=1991),0.8
41.21804,69.16174,1985,Soviet (<=1991),0.8
41.22909,69.28012,2011,post-2010,0.5
41.33080,69.15151,1985,Soviet (<=1991),0.8
41.22240,69.10655,1985,Soviet (<=1991),0.8
41.18680,69.15560,2005,1992-2010,0.65
41.20185,69.16489,2008,1992-2010,0.65
41.22732,69.13045,1985,Soviet (<=1991),0.8
41.20797,69.18540,2002,1992-2010,0.65
41.35517,69.14327,1992,1992-2010,0.65
41.36179,69.11647,1985,Soviet (<=1991),0.8
41.37746,69.14269,1985,Soviet (<=1991),0.8
41.41100,69.22973,1985,Soviet (<=1991),0.8
41.41577,69.19874,1985,Soviet (<=1991),0.8
41.41995,69.26669,2000,1992-2010,0.65
41.40609,69.21867,2007,1992-2010,0.65
41.40594,69.26689,1991,Soviet (<=1991),0.8
41.40178,69.28492,1995,1992-2010,0.65
41.38494,69.32200,0,unknown,0.65
41.36971,69.16733,2005,1992-2010,0.65
41.41380,69.19431,1992,1992-2010,0.65
41.22446,69.40610,2000,1992-2010,0.65
41.27768,69.44768,2014,post-2010,0.5
41.25385,69.40303,1985,Soviet (<=1991),0.8
41.19707,69.41647,2004,1992-2010,0.65
41.18341,69.35639,1985,Soviet (<=1991),0.8
41.15190,69.45075,1985,Soviet (<=1991),0.8
41.15271,69.42214,1985,Soviet (<=1991),0.8
41.37124,69.38144,1985,Soviet (<=1991),0.8
41.36680,69.41246,2001,1992-2010,0.65
41.39114,69.39886,1985,Soviet (<=1991),0.8
41.36677,69.44048,2004,1992-2010,0.65
41.34817,69.43183,1985,Soviet (<=1991),0.8
41.33302,69.40657,1985,Soviet (<=1991),0.8
41.40866,69.39549,1985,Soviet (<=1991),0.8
41.40708,69.30840,1985,Soviet (<=1991),0.8
41.28964,69.39082,1985,Soviet (<=1991),0.8
41.36028,69.34431,1985,Soviet (<=1991),0.8
41.18636,69.31763,1985,Soviet (<=1991),0.8
41.15807,69.27219,2007,1992-2010,0.65
41.18128,69.29631,2014,post-2010,0.5
41.14966,69.29273,0,unknown,0.65
41.21620,69.32388,1985,Soviet (<=1991),0.8
41.15469,69.24861,1993,1992-2010,0.65
41.18159,69.11066,1999,1992-2010,0.65
41.20712,69.10617,2006,1992-2010,0.65
41.15976,69.11444,1985,Soviet (<=1991),0.8
41.16203,69.18857,0,unknown,0.65
41.16148,69.10773,1985,Soviet (<=1991),0.8
41.40254,69.44426,0,unknown,0.65
41.30720,69.24763,1985,Soviet (<=1991),0.8
41.23752,69.17177,1985,Soviet (<=1991),0.8
41.33901,69.26494,1985,Soviet (<=1991),0.8
41.16854,69.21849,0,unknown,0.65
41.21257,69.19544,0,unknown,0.65
41.22361,69.18335,1985,Soviet (<=1991),0.8
41.36945,69.21016,1985,Soviet (<=1991),0.8
41.36002,69.21915,1985,Soviet (<=1991),0.8
41.29201,69.20364,2002,1992-2010,0.65
41.32884,69.25691,1985,Soviet (<=1991),0.8
41.28068,69.18765,1985,Soviet (<=1991),0.8
41.39128,69.10351,1995,1992-2010,0.65
41.39824,69.11466,1985,Soviet (<=1991),0.8
41.39833,69.11991,1985,Soviet (<=1991),0.8
41.40885,69.14654,2011,post-2010,0.5
41.41076,69.15568,2000,1992-2010,0.65
41.33512,69.24813,1985,Soviet (<=1991),0.8
